date,window,Au/USD_vol,Au/USD_z,Au/USD_ratio,Au/USD_state,Au/Equity_vol,Au/Equity_z,Au/Equity_ratio,Au/Equity_state,Au/Commodity_vol,Au/Commodity_z,Au/Commodity_ratio,Au/Commodity_state,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
2020-03-18,pre,0.026863,21.72,3.767,riot,0.05641,38.38,5.965,riot,0.089732,17.85,5.419,riot,0.051508,35.03,10.347,riot,0.090855,32.9,5.645,riot,0.078809,28.59,4.942,riot
2020-03-19,pre,0.02688,21.73,3.769,riot,0.056532,38.48,5.977,riot,0.104937,21.55,6.338,riot,0.051465,34.99,10.338,riot,0.104602,38.95,6.499,riot,0.093704,35.36,5.876,riot
2020-03-20,pre,0.026093,20.87,3.659,riot,0.057001,38.86,6.027,riot,0.116126,24.28,7.013,riot,0.051688,35.16,10.383,riot,0.114505,43.31,7.114,riot,0.102378,39.31,6.42,riot
2020-03-23,pre,0.029443,24.55,4.128,riot,0.058617,40.18,6.198,riot,0.122215,25.77,7.381,riot,0.051605,35.1,10.367,riot,0.126079,48.41,7.833,riot,0.115763,45.39,7.259,riot
2020-03-24,pre,0.033256,28.75,4.663,riot,0.059549,40.94,6.296,riot,0.125244,26.51,7.564,riot,0.05778,39.75,11.607,riot,0.126634,48.65,7.868,riot,0.121834,48.15,7.64,riot
2020-03-25,pre,0.033312,28.81,4.671,riot,0.060199,41.47,6.365,riot,0.12557,26.59,7.584,riot,0.05819,40.06,11.689,riot,0.126832,48.74,7.88,riot,0.121809,48.14,7.638,riot
2020-03-26,pre,0.033886,29.44,4.751,riot,0.061118,42.22,6.462,riot,0.13261,28.3,8.009,riot,0.061093,42.24,12.272,riot,0.131853,50.95,8.192,riot,0.133625,53.52,8.379,riot
2020-03-27,pre,0.032305,27.7,4.53,riot,0.060202,41.47,6.365,riot,0.132107,28.18,7.978,riot,0.061208,42.33,12.296,riot,0.131855,50.95,8.192,riot,0.133643,53.52,8.38,riot
2020-03-30,pre,0.031884,27.24,4.471,riot,0.060446,41.67,6.391,riot,0.130974,27.9,7.91,riot,0.060056,41.46,12.064,riot,0.129928,50.1,8.072,riot,0.134405,53.87,8.428,riot
2020-03-31,pre,0.031282,26.58,4.386,riot,0.059364,40.79,6.277,riot,0.166518,36.57,10.057,riot,0.059936,41.37,12.04,riot,0.162166,64.29,10.075,riot,0.166195,68.33,10.422,riot
2020-04-01,pre,0.031318,26.62,4.391,riot,0.058779,40.31,6.215,riot,0.166536,36.58,10.058,riot,0.059557,41.09,11.964,riot,0.162119,64.27,10.072,riot,0.166822,68.61,10.461,riot
2020-04-02,pre,0.031485,26.8,4.415,riot,0.058023,39.69,6.135,riot,0.174088,38.42,10.514,riot,0.059804,41.27,12.014,riot,0.171777,68.52,10.672,riot,0.173992,71.87,10.911,riot
2020-04-03,regime,0.031314,26.61,4.391,riot,0.058027,39.7,6.135,riot,0.175726,38.82,10.613,riot,0.059831,41.29,12.019,riot,0.173979,69.49,10.809,riot,0.176463,73.0,11.066,riot
2020-04-06,regime,0.031756,27.1,4.453,riot,0.056325,38.31,5.956,riot,0.165746,36.38,10.01,riot,0.060691,41.94,12.192,riot,0.164567,65.34,10.224,riot,0.173686,71.73,10.891,riot
2020-04-07,regime,0.031327,26.63,4.393,riot,0.054632,36.92,5.777,riot,0.164335,36.04,9.925,riot,0.060124,41.51,12.078,riot,0.163941,65.07,10.185,riot,0.174362,72.04,10.934,riot
2020-04-08,regime,0.031237,26.53,4.38,riot,0.05458,36.88,5.771,riot,0.165227,36.26,9.979,riot,0.059703,41.2,11.993,riot,0.164786,65.44,10.238,riot,0.17451,72.11,10.943,riot
2020-04-09,regime,0.031479,26.8,4.414,riot,0.052679,35.33,5.57,riot,0.16716,36.73,10.095,riot,0.054126,37.0,10.873,riot,0.165159,65.61,10.261,riot,0.174815,72.25,10.962,riot
2020-04-13,regime,0.027661,22.59,3.878,riot,0.04211,26.69,4.452,riot,0.166279,36.51,10.042,riot,0.051532,35.04,10.352,riot,0.165149,65.6,10.26,riot,0.174212,71.97,10.924,riot
2020-04-14,regime,0.027274,22.17,3.824,riot,0.035063,20.93,3.707,riot,0.1671,36.71,10.092,riot,0.043304,28.85,8.699,riot,0.165503,65.76,10.282,riot,0.175554,72.58,11.009,riot
2020-04-15,regime,0.028106,23.08,3.941,riot,0.034264,20.27,3.623,riot,0.166401,36.54,10.049,riot,0.043223,28.79,8.683,riot,0.164725,65.41,10.234,riot,0.174046,71.9,10.914,riot
2020-04-16,regime,0.025447,20.16,3.568,riot,0.034012,20.07,3.596,riot,0.157996,34.49,9.542,riot,0.039624,26.08,7.96,riot,0.151432,59.56,9.408,riot,0.167437,68.89,10.5,riot
2020-04-17,regime,0.025495,20.21,3.575,riot,0.035447,21.24,3.748,riot,0.15023,32.6,9.073,riot,0.039607,26.07,7.956,riot,0.145538,56.97,9.042,riot,0.161275,66.09,10.113,riot
2020-04-22,regime,0.025855,20.61,3.625,riot,0.033528,19.67,3.545,riot,0.166672,36.61,10.066,riot,0.037459,24.45,7.525,riot,0.164589,65.35,10.226,riot,0.181297,75.2,11.369,riot
2020-04-23,regime,0.023251,17.74,3.26,riot,0.026434,13.87,2.795,riot,0.165721,36.38,10.008,riot,0.03644,23.68,7.32,riot,0.161197,63.86,10.015,riot,0.176367,72.95,11.06,riot
2020-04-24,regime,0.018837,12.88,2.641,riot,0.025991,13.51,2.748,riot,0.161154,35.26,9.733,riot,0.0309,19.51,6.207,riot,0.159274,63.02,9.895,riot,0.170539,70.3,10.694,riot
2020-04-27,regime,0.018646,12.67,2.614,riot,0.025741,13.31,2.722,riot,0.173437,38.26,10.474,riot,0.030896,19.51,6.207,riot,0.172199,68.7,10.698,riot,0.183214,76.07,11.489,riot
2020-04-28,regime,0.017797,11.74,2.495,riot,0.023822,11.74,2.519,riot,0.16393,35.94,9.9,riot,0.026807,16.43,5.385,riot,0.164453,65.29,10.217,riot,0.170688,70.37,10.703,riot
2020-04-29,regime,0.017728,11.66,2.486,riot,0.023851,11.76,2.522,riot,0.167603,36.84,10.122,riot,0.026257,16.02,5.274,riot,0.167734,66.74,10.421,riot,0.173524,71.66,10.881,riot
2020-04-30,regime,0.017621,11.54,2.471,riot,0.022994,11.06,2.431,riot,0.172133,37.94,10.396,riot,0.02615,15.94,5.253,riot,0.171223,68.27,10.638,riot,0.176956,73.22,11.097,riot
2020-05-01,regime,0.016614,10.44,2.33,riot,0.024652,12.42,2.607,riot,0.151226,32.84,9.133,riot,0.026789,16.42,5.381,riot,0.153287,60.38,9.523,riot,0.157107,64.19,9.852,riot
2020-05-04,regime,0.016332,10.12,2.29,riot,0.022329,10.52,2.361,riot,0.150957,32.78,9.117,riot,0.023128,13.66,4.646,riot,0.152806,60.17,9.494,riot,0.157105,64.19,9.852,riot
2020-05-05,regime,0.015726,9.46,2.205,riot,0.022164,10.39,2.344,riot,0.15079,32.74,9.107,riot,0.023066,13.62,4.634,riot,0.151067,59.4,9.386,riot,0.156014,63.7,9.783,riot
2020-05-06,regime,0.016282,10.07,2.283,riot,0.021292,9.67,2.251,riot,0.149873,32.51,9.051,riot,0.02259,13.26,4.538,riot,0.150557,59.18,9.354,riot,0.154198,62.87,9.669,riot
