date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1991-03-08,regime,0.01163,-0.5,0.917,normal,0.039054,-0.93,0.797,normal,0.039591,-1.26,0.704,freeze
1991-03-11,regime,0.011683,-0.47,0.921,normal,0.038569,-0.97,0.788,normal,0.039309,-1.28,0.699,freeze
1991-03-12,regime,0.009071,-1.71,0.715,freeze,0.040729,-0.77,0.832,normal,0.042327,-1.05,0.753,freeze
1991-03-13,regime,0.009243,-1.63,0.728,freeze,0.041001,-0.74,0.837,normal,0.041914,-1.08,0.746,freeze
1991-03-14,regime,0.009137,-1.68,0.72,freeze,0.04107,-0.74,0.839,normal,0.041729,-1.1,0.742,freeze
1991-03-15,regime,0.009026,-1.73,0.711,freeze,0.041175,-0.73,0.841,normal,0.041612,-1.11,0.74,freeze
1991-03-18,regime,0.009188,-1.65,0.724,freeze,0.038021,-1.02,0.776,freeze,0.037453,-1.42,0.666,freeze
1991-03-19,regime,0.010144,-1.2,0.799,freeze,0.038292,-1.0,0.782,normal,0.0392,-1.29,0.697,freeze
1991-03-20,regime,0.010234,-1.16,0.807,freeze,0.038301,-1.0,0.782,normal,0.039262,-1.29,0.699,freeze
1991-03-21,regime,0.010251,-1.15,0.808,freeze,0.033455,-1.45,0.683,freeze,0.033621,-1.71,0.598,freeze
1991-03-22,regime,0.010236,-1.16,0.807,freeze,0.031944,-1.59,0.652,freeze,0.032326,-1.81,0.575,freeze
1991-03-25,regime,0.010392,-1.08,0.819,freeze,0.033195,-1.47,0.678,freeze,0.033118,-1.75,0.589,freeze
1991-03-26,regime,0.011202,-0.7,0.883,normal,0.030698,-1.71,0.627,freeze,0.029319,-2.04,0.522,freeze
1991-03-27,regime,0.010681,-0.95,0.842,normal,0.030299,-1.74,0.619,freeze,0.029322,-2.04,0.522,freeze
1991-03-28,regime,0.010685,-0.95,0.842,normal,0.030234,-1.75,0.617,freeze,0.029205,-2.05,0.52,freeze
1991-04-01,regime,0.010745,-0.92,0.847,normal,0.030229,-1.75,0.617,freeze,0.029249,-2.04,0.52,freeze
1991-04-02,regime,0.012696,0.0,1.001,normal,0.028034,-1.95,0.572,freeze,0.027065,-2.21,0.482,freeze
