ticker,trigger_date,case,coil_days,pivot_date,pivot_close,pivot_vol,dry_last_ratio,dry_mean_ratio,max_daily_amp,pullback,notes
NHC,2026-04-28,V2(C=4),4,2026-04-22,173.6300048828125,336300.0,0.1968480523342254,0.3373476063038953,0.0561,0.02603,coil3.34% dry_last20%
KGEI,2026-04-28,V2(C=2),2,2026-04-24,5.46999979019165,1146600.0,0.20948892377463807,0.2366125937554509,0.06399,0.00366,coil0.91% dry_last21%
RDCM,2026-04-28,V2(C=3),3,2026-04-23,15.380000114440918,1264400.0,0.23837393229990508,0.3005641674575556,0.04941,-0.00195,coil1.69% dry_last24%
BA,2026-04-28,V2(C=4),4,2026-04-22,231.27999877929688,15779500.0,0.24131309610570678,0.34903989353274817,0.03087,0.0182,coil1.48% dry_last24%
MCRI,2026-04-28,V2(C=4),4,2026-04-22,114.23999786376953,537600.0,0.2565104166666667,0.4378255208333333,0.04272,0.01786,coil2.78% dry_last26%
BANR,2026-04-28,V2(C=3),3,2026-04-23,67.2161636352539,617300.0,0.26178519358496677,0.34294508342783087,0.02715,0.02287,coil1.79% dry_last26%
MBLY,2026-04-28,V2(C=3),3,2026-04-23,8.699999809265137,22688600.0,0.26493481307793343,0.40025240282197516,0.07931,-0.01149,coil2.53% dry_last26%
SXT,2026-04-28,V2(C=2),2,2026-04-24,122.72283172607422,1763900.0,0.31441691705879016,0.46266795169794206,0.05552,0.01746,coil1.27% dry_last31%
UNP,2026-04-28,V2(C=3),3,2026-04-23,271.260009765625,8477300.0,0.3189576869993984,0.35777507775667566,0.02356,0.02028,coil0.43% dry_last32%
HRTX,2026-04-28,V2(C=2),2,2026-04-24,1.190000057220459,6080700.0,0.33052115710362295,0.492065058299209,0.08403,0.0084,coil1.68% dry_last33%
TTI,2026-04-28,V2(C=2),2,2026-04-24,9.6899995803833,2871100.0,0.36317091010414126,0.36735049284246457,0.04718,0.02786,coil0.10% dry_last36%
OFG,2026-04-28,V2(C=5),5,2026-04-21,44.709999084472656,637900.0,0.36980717980874744,0.4783508386894498,0.03534,-0.00895,coil1.27% dry_last37%
RES,2026-04-28,V2(C=3),3,2026-04-23,7.65470552444458,4002000.0,0.37743628185907047,0.530751291021156,0.05974,0.01688,coil2.21% dry_last38%
WKC,2026-04-28,V2(C=2),2,2026-04-24,26.110000610351562,3189600.0,0.38196012039127164,0.4578473789816905,0.04443,0.01877,coil2.22% dry_last38%
STM,2026-04-28,V2(C=3),3,2026-04-23,49.709999084472656,25606900.0,0.39411252435866895,0.4468418017539544,0.03681,0.01489,coil1.51% dry_last39%
RDY,2026-04-27,V2(C=2),2,2026-04-23,13.579999923706055,7736600.0,0.22215184964971693,0.28077579298399813,0.01915,0.00074,coil2.21% dry_last22%
RDCM,2026-04-27,V2(C=2),2,2026-04-23,15.380000114440918,1264400.0,0.22651059791205314,0.33165928503638087,0.04941,-0.00195,coil0.39% dry_last23%
CX,2026-04-27,V2(C=2),2,2026-04-23,12.510000228881836,16134400.0,0.25367537683458946,0.3102904353431178,0.03038,0.02638,coil0.96% dry_last25%
DHI,2026-04-27,V2(C=4),4,2026-04-21,161.710693359375,6262000.0,0.26228042159054615,0.39430293835835195,0.03045,0.0225,coil3.01% dry_last26%
BA,2026-04-27,V2(C=3),3,2026-04-22,231.27999877929688,15779500.0,0.2790075731170189,0.38494882600842867,0.03087,0.01085,coil1.22% dry_last28%
TECK,2026-04-27,V2(C=2),2,2026-04-23,60.75,7268400.0,0.28447801441857906,0.35598618678113475,0.02077,0.02798,coil0.08% dry_last28%
NHC,2026-04-27,V2(C=3),3,2026-04-22,173.6300048828125,336300.0,0.29229854296758845,0.384180790960452,0.0561,0.02603,coil3.34% dry_last29%
MCRI,2026-04-27,V2(C=3),3,2026-04-22,114.23999786376953,537600.0,0.2976190476190476,0.49826388888888895,0.04272,0.01786,coil2.30% dry_last30%
TBRG,2026-04-27,V2(C=2),2,2026-04-23,25.760000228881836,2265000.0,0.3091832229580574,0.3408388520971302,0.00388,0.00194,coil0.19% dry_last31%
MBLY,2026-04-27,V2(C=2),2,2026-04-23,8.699999809265137,22688600.0,0.3192175806352089,0.4679111976939961,0.07931,-0.01149,coil2.53% dry_last32%
BANR,2026-04-27,V2(C=2),2,2026-04-23,67.2161636352539,617300.0,0.33160537826016523,0.38352502834926294,0.02715,0.02287,coil1.79% dry_last33%
UNP,2026-04-27,V2(C=2),2,2026-04-23,271.260009765625,8477300.0,0.3337501327073479,0.3771837731353143,0.02356,0.02028,coil0.08% dry_last33%
MAS,2026-04-27,V2(C=3),3,2026-04-22,73.6075439453125,8456500.0,0.34180807662744633,0.5181615719663375,0.02772,0.00676,coil1.65% dry_last34%
HAFC,2026-04-27,V2(C=3),3,2026-04-22,29.295568466186523,708700.0,0.3435868491604346,0.3856827054230751,0.03087,0.00406,coil3.38% dry_last34%
TFIN,2026-04-27,V2(C=2),2,2026-04-23,67.31999969482422,732000.0,0.3598360655737705,0.40792349726775956,0.04204,0.02436,coil1.25% dry_last36%
OFG,2026-04-27,V2(C=4),4,2026-04-21,44.709999084472656,637900.0,0.3784292208810158,0.5054867534096253,0.03534,-0.00895,coil1.27% dry_last38%
DOV,2026-04-27,V2(C=2),2,2026-04-23,228.14999389648438,2386500.0,0.3920385501780851,0.4312382149591452,0.03016,0.022,coil0.64% dry_last39%
SILA,2026-04-24,V2(C=4),4,2026-04-20,30.001832962036133,9912700.0,0.0952414579277089,0.1944954452369183,0.00197,0.00132,coil0.16% dry_last10%
CGTX,2026-04-24,V2(C=3),3,2026-04-21,1.1699999570846558,3572900.0,0.19429595006857175,0.32529131331224864,0.09402,-0.02564,coil2.56% dry_last19%
MNTK,2026-04-24,V2(C=3),3,2026-04-21,1.399999976158142,496200.0,0.20233776702942363,0.3993685341932017,0.05714,0.01429,coil2.14% dry_last20%
EGY,2026-04-24,V2(C=3),3,2026-04-21,5.876248836517334,3295200.0,0.25943797038116045,0.421967305980416,0.04529,0.01077,coil2.86% dry_last26%
FTK,2026-04-24,V2(C=2),2,2026-04-22,16.75,486000.0,0.27139917695473254,0.2909465020576132,0.04418,0.01433,coil0.48% dry_last27%
SFNC,2026-04-24,V2(C=5),5,2026-04-17,21.520000457763672,3024200.0,0.28433966007539185,0.4641954897162886,0.04275,0.02742,coil2.97% dry_last28%
JKS,2026-04-24,V2(C=2),2,2026-04-22,22.690000534057617,1269700.0,0.3206269197448216,0.4446325903756793,0.04704,0.02732,coil1.63% dry_last32%
NHC,2026-04-24,V2(C=2),2,2026-04-22,173.6300048828125,336300.0,0.3247100802854594,0.43012191495688373,0.0561,0.02603,coil1.31% dry_last32%
HUM,2026-04-24,V2(C=3),3,2026-04-21,217.36000061035156,3067200.0,0.32984480959833073,0.42160059120153015,0.03224,0.02613,coil1.13% dry_last33%
DHI,2026-04-24,V2(C=3),3,2026-04-21,161.710693359375,6262000.0,0.3549664643883743,0.4383104439476206,0.03045,0.01597,coil2.66% dry_last35%
BA,2026-04-24,V2(C=2),2,2026-04-22,231.27999877929688,15779500.0,0.36330048480623595,0.43791945245413355,0.03087,0.01085,coil0.74% dry_last36%
SILA,2026-04-23,V2(C=3),3,2026-04-20,30.001832962036133,9912700.0,0.094071241942155,0.22758010767332146,0.00197,0.00132,coil0.16% dry_last9%
WAFD,2026-04-23,V2(C=4),4,2026-04-17,34.97160339355469,1943600.0,0.249485490841737,0.4482789668656102,0.03207,0.01362,coil1.28% dry_last25%
WMS,2026-04-23,V2(C=4),4,2026-04-17,153.3699951171875,2663800.0,0.26064269089270964,0.29151024851715596,0.04113,0.01989,coil1.72% dry_last26%
KAPA,2026-04-23,V2(C=2),2,2026-04-21,0.6570000052452087,281700.0,0.2665956691515797,0.4488817891373802,0.0761,-0.00457,coil2.44% dry_last27%
JBHT,2026-04-23,V2(C=5),5,2026-04-16,237.877197265625,2564700.0,0.32471634109252545,0.3841540920965415,0.04639,-0.00071,coil3.62% dry_last32%
CGTX,2026-04-23,V2(C=2),2,2026-04-21,1.1699999570846558,3572900.0,0.3525987293235187,0.39078899493408714,0.09402,-0.02564,coil2.56% dry_last35%
SFNC,2026-04-23,V2(C=4),4,2026-04-17,21.520000457763672,3024200.0,0.36452615567753455,0.5091594471265128,0.04275,0.02742,coil2.28% dry_last36%
EGY,2026-04-23,V2(C=2),2,2026-04-21,5.876248836517334,3295200.0,0.394179412478757,0.5032319737800437,0.04529,0.01077,coil2.86% dry_last39%
SNTI,2026-04-22,V2(C=3),3,2026-04-17,1.100000023841858,946900.0,0.1086703981413032,0.3136902876051677,0.09091,0.02727,coil3.64% dry_last11%
AEF,2026-04-22,V2(C=3),3,2026-04-17,9.039999961853027,728700.0,0.2011801838891176,0.35432962810484425,0.02765,0.02765,coil1.55% dry_last20%
9633.HK,2026-04-22,V2(C=2),2,2026-04-20,47.429664611816406,13439862.0,0.2025409933524615,0.22420207886063115,0.01848,0.01807,coil0.86% dry_last20%
MTNB,2026-04-22,V2(C=2),2,2026-04-20,0.5490000247955322,80400.0,0.236318407960199,0.30659203980099503,0.03825,0.0,coil1.82% dry_last24%
IHRT,2026-04-22,V2(C=3),3,2026-04-17,4.099999904632568,1208300.0,0.2386824464123148,0.44450881403624926,0.07317,0.0122,coil0.00% dry_last24%
ARCB,2026-04-22,V2(C=4),4,2026-04-16,114.0574951171875,533700.0,0.25295109612141653,0.46767847105115234,0.04379,-0.00499,coil0.61% dry_last25%
SILA,2026-04-22,V2(C=2),2,2026-04-20,30.001832962036133,9912700.0,0.26561885258305,0.2943345405389046,0.00197,0.00132,coil0.16% dry_last27%
CVCB3.SA,2026-04-22,V2(C=2),2,2026-04-17,2.130000114440918,33919400.0,0.28144955394258153,0.35084641827390817,0.04695,0.02817,coil0.47% dry_last28%
AMBQ,2026-04-22,V2(C=3),3,2026-04-17,34.7599983215332,764800.0,0.301255230125523,0.31332810320781035,0.05063,0.02359,coil0.92% dry_last30%
WMS,2026-04-22,V2(C=3),3,2026-04-17,153.3699951171875,2663800.0,0.304302124784143,0.3017994343919714,0.04113,0.01989,coil1.52% dry_last30%
AUDC,2026-04-22,V2(C=2),2,2026-04-20,9.3100004196167,201900.0,0.3229321446260525,0.3504210004952947,0.02363,-0.00215,coil0.75% dry_last32%
GFS,2026-04-22,V2(C=2),2,2026-04-20,58.7599983215332,8783100.0,0.34167890608099644,0.49459188669148707,0.04391,0.00613,coil1.95% dry_last34%
EHTH,2026-04-22,V2(C=4),4,2026-04-16,1.7999999523162842,962300.0,0.3605944092278915,0.49077730437493505,0.08152,0.02778,coil2.22% dry_last36%
RMAX,2026-04-22,V2(C=2),2,2026-04-20,6.789999961853027,492400.0,0.36616571892770106,0.367587327376117,0.05007,0.02504,coil0.29% dry_last37%
WAFD,2026-04-22,V2(C=3),3,2026-04-17,34.97160339355469,1943600.0,0.3802737188721959,0.5145434588735679,0.03207,0.01362,coil0.65% dry_last38%
JBHT,2026-04-22,V2(C=4),4,2026-04-16,237.877197265625,2564700.0,0.3951729247085429,0.3990135298475455,0.04639,-0.00071,coil2.74% dry_last40%
WETH,2026-04-21,V2(C=2),2,2026-04-17,1.8300000429153442,224900.0,0.03201422854602046,0.18163628279235217,0.0765,0.01093,coil0.55% dry_last3%
GSAT,2026-04-21,V2(C=5),5,2026-04-14,79.91000366210938,12495600.0,0.11223150548993245,0.19425557796344314,0.01865,0.00588,coil0.78% dry_last11%
9618.HK,2026-04-21,V2(C=4),4,2026-04-15,120.69999694824219,23272509.0,0.20725685399885332,0.39548938406254347,0.01535,-0.0058,coil1.16% dry_last21%
SKBL,2026-04-21,V2(C=2),2,2026-04-17,3.640000104904175,305100.0,0.24123238282530318,0.26319239593575877,0.08516,0.01923,coil3.02% dry_last24%
ONEW,2026-04-21,V2(C=2),2,2026-04-17,11.149999618530273,301900.0,0.24809539582643259,0.28966545213646905,0.06457,0.01883,coil1.26% dry_last25%
